n,attack,scheme,detected,accepted
2000,honest,pacta_client_bound,False,True
2000,valid_wrong_query_certificate,pacta_client_bound,True,False
2000,valid_wrong_query_certificate,pacta_no_client_request,False,True
2000,tampered_aggregate,pacta,True,False
2000,stale_or_wrong_version,pacta,True,False
2000,policy_filter_widened,pacta,True,False
2000,manifest_tampering,pacta,True,False
2000,projection_mask_tampering,pacta,True,False
2000,query_range_shift,pacta,True,False
2000,root_descriptor_tampering,pacta,True,False
2000,omitted_inside_range,pacta,True,False
2000,range_boundary_relabel,pacta,True,False
2000,omitted_inside_range,provenance_only,False,True
2000,policy_filter_widened,policy_oblivious,False,True
5000,honest,pacta_client_bound,False,True
5000,valid_wrong_query_certificate,pacta_client_bound,True,False
5000,valid_wrong_query_certificate,pacta_no_client_request,False,True
5000,tampered_aggregate,pacta,True,False
5000,stale_or_wrong_version,pacta,True,False
5000,policy_filter_widened,pacta,True,False
5000,manifest_tampering,pacta,True,False
5000,projection_mask_tampering,pacta,True,False
5000,query_range_shift,pacta,True,False
5000,root_descriptor_tampering,pacta,True,False
5000,omitted_inside_range,pacta,True,False
5000,range_boundary_relabel,pacta,True,False
5000,omitted_inside_range,provenance_only,False,True
5000,policy_filter_widened,policy_oblivious,False,True
