n,profile,selectivity,policy_complexity,scheme,certificate_bytes,server_generation_ms,client_verification_ms,sqlite_query_ms,query_latency_overhead_x,authorized_rows,range_rows,tree_build_ms,root
20000,dashboard_sales,0.01,1,pacta,50574,5.526831,2.6466855000000002,0.229286,24.104528841708607,4,209,1013.243321,2c52c5ebc8cb14d2
20000,dashboard_sales,0.05,1,pacta,101730,7.476973,3.9751835,0.340883,21.934132825632258,28,1047,1013.243321,2c52c5ebc8cb14d2
20000,dashboard_sales,0.2,1,pacta,256474,15.02123,9.2602555,0.531363,28.269243436219682,121,3955,1013.243321,2c52c5ebc8cb14d2
20000,dashboard_sales,0.01,3,pacta,51738,5.476289,2.8409934999999997,0.318213,17.20950746826811,15,220,1013.243321,2c52c5ebc8cb14d2
20000,dashboard_sales,0.05,3,pacta,99382,7.963936,4.039251500000001,0.316341,25.175162245804373,111,1041,1013.243321,2c52c5ebc8cb14d2
20000,dashboard_sales,0.2,3,pacta,258646,15.901626,10.258649,0.757912,20.980834186554638,399,3964,1013.243321,2c52c5ebc8cb14d2
20000,dashboard_sales,0.01,5,pacta,60606,5.827504,2.9235445,0.275555,21.148242637585962,48,256,1013.243321,2c52c5ebc8cb14d2
20000,dashboard_sales,0.05,5,pacta,95120,7.020353,4.5157525,0.393829,17.825891440193587,179,1010,1013.243321,2c52c5ebc8cb14d2
20000,dashboard_sales,0.2,5,pacta,248661,15.161787,8.545349,0.690154,21.96870118843041,591,3927,1013.243321,2c52c5ebc8cb14d2
50000,dashboard_sales,0.01,1,pacta,74740,5.762376,3.0621039999999997,0.329028,17.513330172508116,22,540,2654.605147,7f669be90d0345da
50000,dashboard_sales,0.05,1,pacta,168221,10.90745,5.9585515000000004,0.531525,20.52104792813132,75,2513,2654.605147,7f669be90d0345da
50000,dashboard_sales,0.2,1,pacta,374189,20.746286,12.428685999999999,1.265061,16.399435284148353,332,10002,2654.605147,7f669be90d0345da
50000,dashboard_sales,0.01,3,pacta,83189,6.199393,3.3365635,0.344646,17.98771202915455,48,575,2654.605147,7f669be90d0345da
50000,dashboard_sales,0.05,3,pacta,157522,10.058373,5.745964,0.64191,15.669444314623545,242,2466,2654.605147,7f669be90d0345da
50000,dashboard_sales,0.2,3,pacta,194999,11.834587,6.558247,1.567361,7.550645320382478,938,9954,2654.605147,7f669be90d0345da
50000,dashboard_sales,0.01,5,pacta,74949,5.846865,3.242783,0.334696,17.469180988120563,84,528,2654.605147,7f669be90d0345da
50000,dashboard_sales,0.05,5,pacta,179162,10.998977,6.201979,0.720663,15.262302907184077,443,2586,2654.605147,7f669be90d0345da
50000,dashboard_sales,0.2,5,pacta,395503,23.212192,14.8286735,1.764087,13.158190043915068,1589,9936,2654.605147,7f669be90d0345da
