profile,seed,n,selectivity,policy_complexity,certificate_bytes,server_generation_ms,client_verification_ms,sqlite_query_ms,authorized_rows,range_rows,tree_build_ms,semantic_checked
dashboard_sales,1701,3000,0.02,1,22144,2.624995,1.261263,0.172351,1,70,123.633981,True
dashboard_sales,1701,3000,0.05,1,40456,3.847396,2.277166,0.097247,9,151,123.633981,True
dashboard_sales,1701,3000,0.1,1,58549,3.629816,1.942291,0.107875,12,304,123.633981,True
dashboard_sales,1701,3000,0.2,1,58544,4.570916,2.754769,0.131548,14,625,123.633981,True
dashboard_sales,1701,3000,0.02,3,22724,3.067602,1.90053,0.163069,4,57,123.633981,True
dashboard_sales,1701,3000,0.05,3,41093,6.628883,2.694554,0.195034,21,153,123.633981,True
dashboard_sales,1701,3000,0.1,3,64185,4.56345,2.798504,0.130129,29,302,123.633981,True
dashboard_sales,1701,3000,0.2,3,92015,6.155091,3.793672,0.190344,47,634,123.633981,True
dashboard_sales,1701,3000,0.02,5,22160,3.060459,1.482125,0.183186,9,62,123.633981,True
dashboard_sales,1701,3000,0.05,5,34134,2.902758,1.656594,0.131176,18,137,123.633981,True
dashboard_sales,1701,3000,0.1,5,34761,3.360373,1.790661,0.15693,55,313,123.633981,True
dashboard_sales,1701,3000,0.2,5,59215,4.99713,3.095616,0.160553,110,628,123.633981,True
dashboard_sales,1723,3000,0.02,1,20611,2.74863,1.582645,0.152684,1,50,126.969565,True
dashboard_sales,1723,3000,0.05,1,38393,3.917341,2.293582,0.121876,5,151,126.969565,True
dashboard_sales,1723,3000,0.1,1,65542,4.908148,2.993369,0.177306,11,298,126.969565,True
dashboard_sales,1723,3000,0.2,1,81214,6.123397,3.294371,0.144021,18,591,126.969565,True
dashboard_sales,1723,3000,0.02,3,17642,3.127368,1.013537,0.220845,3,54,126.969565,True
dashboard_sales,1723,3000,0.05,3,38920,3.241313,1.731774,0.100158,12,153,126.969565,True
dashboard_sales,1723,3000,0.1,3,58624,4.04018,2.389057,0.114995,32,282,126.969565,True
