n,profile,selectivity,policy_complexity,scheme,certificate_bytes,server_generation_ms,client_verification_ms,sqlite_query_ms,query_latency_overhead_x,authorized_rows,range_rows,tree_build_ms,root,selected_evidence
2000,dashboard_sales,0.01,1,pacta,14305,2.328551,1.460397,0.01324,175.8724320241692,0,18,86.029485,2acab4ec8e305383,
2000,dashboard_sales,0.01,1,full_recompute,288490,0.0048,0.141125,0.01324,,0,18,86.029485,2acab4ec8e305383,
2000,dashboard_sales,0.01,1,full_table_hash,288568,0.023799,0.170156,0.01324,,0,18,86.029485,2acab4ec8e305383,
2000,dashboard_sales,0.01,1,tuple_merkle,298,0.187594,0.0207215,0.01324,,0,18,86.029485,2acab4ec8e305383,
2000,dashboard_sales,0.01,1,tuple_frontier,12742,1.167481,1.0768214999999999,0.01324,,0,18,86.029485,2acab4ec8e305383,
2000,dashboard_sales,0.01,1,range_tree,15352,1.250204,1.092646,0.01324,,0,18,86.029485,2acab4ec8e305383,
2000,dashboard_sales,0.01,1,provenance_only,272,0.267777,0.0011635,0.01324,,0,18,86.029485,2acab4ec8e305383,
2000,dashboard_sales,0.01,1,policy_oblivious,12673,0.990591,0.910925,0.01324,,0,18,86.029485,2acab4ec8e305383,
2000,dashboard_sales,0.01,1,adaptive_planner,12742,1.167481,1.0768214999999999,0.01324,,0,18,86.029485,2acab4ec8e305383,tuple_plus_frontier
2000,dashboard_sales,0.05,1,pacta,27329,2.633501,1.670251,0.018048,145.91650044326238,2,95,86.029485,2acab4ec8e305383,
2000,dashboard_sales,0.05,1,full_recompute,288511,0.009877,0.18204,0.018048,,2,95,86.029485,2acab4ec8e305383,
2000,dashboard_sales,0.05,1,full_table_hash,288589,0.03574,0.229319,0.018048,,2,95,86.029485,2acab4ec8e305383,
2000,dashboard_sales,0.05,1,tuple_merkle,10769,1.813512,0.35157499999999997,0.018048,,2,95,86.029485,2acab4ec8e305383,
2000,dashboard_sales,0.05,1,tuple_frontier,36216,2.896771,1.6467535,0.018048,,2,95,86.029485,2acab4ec8e305383,
2000,dashboard_sales,0.05,1,range_tree,39474,1.289712,1.4080145,0.018048,,2,95,86.029485,2acab4ec8e305383,
2000,dashboard_sales,0.05,1,provenance_only,302,0.250848,0.0007559999999999999,0.018048,,2,95,86.029485,2acab4ec8e305383,
2000,dashboard_sales,0.05,1,policy_oblivious,25697,1.255028,1.350422,0.018048,,2,95,86.029485,2acab4ec8e305383,
2000,dashboard_sales,0.05,1,adaptive_planner,27329,2.633501,1.670251,0.018048,,2,95,86.029485,2acab4ec8e305383,policy_summary_cover
2000,dashboard_sales,0.2,1,pacta,83781,5.31964,3.51911,0.035649,149.22269909394373,7,408,86.029485,2acab4ec8e305383,
2000,dashboard_sales,0.2,1,full_recompute,288547,0.011975,0.218511,0.035649,,7,408,86.029485,2acab4ec8e305383,
2000,dashboard_sales,0.2,1,full_table_hash,288625,0.027874,0.245065,0.035649,,7,408,86.029485,2acab4ec8e305383,
2000,dashboard_sales,0.2,1,tuple_merkle,36935,5.485308,0.9936145000000001,0.035649,,7,408,86.029485,2acab4ec8e305383,
2000,dashboard_sales,0.2,1,tuple_frontier,118798,7.094266,4.2357485,0.035649,,7,408,86.029485,2acab4ec8e305383,
2000,dashboard_sales,0.2,1,range_tree,141052,2.124711,3.366206,0.035649,,7,408,86.029485,2acab4ec8e305383,
2000,dashboard_sales,0.2,1,provenance_only,359,0.28896,0.000741,0.035649,,7,408,86.029485,2acab4ec8e305383,
2000,dashboard_sales,0.2,1,policy_oblivious,82149,1.920363,2.502009,0.035649,,7,408,86.029485,2acab4ec8e305383,
2000,dashboard_sales,0.2,1,adaptive_planner,83781,5.31964,3.51911,0.035649,,7,408,86.029485,2acab4ec8e305383,policy_summary_cover
2000,dashboard_sales,0.01,3,pacta,13688,1.880746,1.043876,0.024063,78.15924863898931,4,23,86.029485,2acab4ec8e305383,
2000,dashboard_sales,0.01,3,full_recompute,288528,0.00939,0.150246,0.024063,,4,23,86.029485,2acab4ec8e305383,
2000,dashboard_sales,0.01,3,full_table_hash,288606,0.028537,0.177484,0.024063,,4,23,86.029485,2acab4ec8e305383,
