n,incremental_update_ms,rebuild_update_ms,incremental_path_bytes,touched_nodes,new_root
2000,2.051249,85.597563,768,4,0eb21cd61d1c424a
2000,2.134931,85.003001,768,4,1d93d0948637013d
2000,2.018083,88.80528,768,4,77e57720b92df871
2000,2.236178,84.486318,768,4,db4bed961fc7e019
2000,2.159803,87.867699,768,4,6e88fd372141891c
5000,4.299948,215.681647,960,5,d82f451275c6ba41
5000,4.451774,220.422337,960,5,19afaabcfd9572ab
5000,4.389685,225.113583,960,5,485e5edf987e52f3
5000,4.60496,225.256856,960,5,86b44e590cfa2e58
5000,4.431282,334.143239,960,5,4476023ea765aa40
