profile,n,selectivity,policy_complexity,certificate_bytes,server_generation_ms,client_verification_ms,sqlite_query_ms,authorized_rows,range_rows,tree_build_ms,tuple_frontier_estimated_bytes,root,source_kind
dashboard_sales,4000,0.01,1,19084,2.286992,1.300255,0.148415,1,44,162.489233,6744,6afc770d046e7b82,
dashboard_sales,4000,0.05,1,50116,3.408732,2.052963,0.079947,5,217,162.489233,31095,6afc770d046e7b82,
dashboard_sales,4000,0.2,1,90006,5.368287,3.382189,0.135118,33,814,162.489233,201801,6afc770d046e7b82,
dashboard_sales,4000,0.01,3,21091,2.919106,1.822564,0.13566,1,43,162.489233,6741,6afc770d046e7b82,
dashboard_sales,4000,0.05,3,40683,2.698715,1.447999,0.082529,12,192,162.489233,73658,6afc770d046e7b82,
dashboard_sales,4000,0.2,3,95134,5.80511,3.7945585,0.153711,70,835,162.489233,427202,6afc770d046e7b82,
dashboard_sales,4000,0.01,5,17775,2.193238,1.1193490000000001,0.150637,4,39,162.489233,25009,6afc770d046e7b82,
dashboard_sales,4000,0.05,5,48700,3.578568,2.1533499999999997,0.086892,27,219,162.489233,165196,6afc770d046e7b82,
dashboard_sales,4000,0.2,5,94386,5.549052,3.637444,0.182415,149,833,162.489233,909287,6afc770d046e7b82,
tpch_lineitem_like,4000,0.01,1,13582,2.115032,1.134122,0.151367,1,25,176.822217,6750,6d100cddd151e9fa,
tpch_lineitem_like,4000,0.05,1,56457,3.734528,2.160881,0.087895,6,264,176.822217,37212,6d100cddd151e9fa,
tpch_lineitem_like,4000,0.2,1,72945,4.576838,2.9137965,0.110764,15,524,176.822217,92103,6d100cddd151e9fa,
tpch_lineitem_like,4000,0.01,3,18198,2.505212,1.4697735,0.137771,3,33,176.822217,18941,6d100cddd151e9fa,
tpch_lineitem_like,4000,0.05,3,52378,3.445372,2.168345,0.089623,24,251,176.822217,147006,6d100cddd151e9fa,
tpch_lineitem_like,4000,0.2,3,73316,4.303193,2.568441,0.114273,35,532,176.822217,214216,6d100cddd151e9fa,
tpch_lineitem_like,4000,0.01,5,17328,2.654171,1.4765815,0.182062,4,30,176.822217,25032,6d100cddd151e9fa,
tpch_lineitem_like,4000,0.05,5,63690,5.149311,3.015395,0.075066,15,281,176.822217,92092,6d100cddd151e9fa,
tpch_lineitem_like,4000,0.2,5,72263,4.376521,2.8871425,0.10135,40,523,176.822217,244725,6d100cddd151e9fa,
open_data_permits,4000,0.01,1,13951,1.989191,1.180046,0.217731,3,26,177.749595,18921,ca0883c5d21b9ed9,
open_data_permits,4000,0.05,1,69822,4.547387,3.245725,0.095876,13,326,177.749595,79796,ca0883c5d21b9ed9,
open_data_permits,4000,0.2,1,84975,5.031905,3.414515,0.127212,31,610,177.749595,189583,ca0883c5d21b9ed9,
open_data_permits,4000,0.01,3,13257,1.617666,0.985169,0.163342,1,24,177.749595,6748,ca0883c5d21b9ed9,
open_data_permits,4000,0.05,3,71543,5.171808,3.768375,0.110256,35,331,177.749595,214073,ca0883c5d21b9ed9,
open_data_permits,4000,0.2,3,58873,3.631624,2.526661,0.127311,56,474,177.749595,339274,ca0883c5d21b9ed9,
open_data_permits,4000,0.01,5,14374,1.687185,1.017017,0.166102,3,21,177.749595,18932,ca0883c5d21b9ed9,
open_data_permits,4000,0.05,5,26956,2.856268,1.813171,0.122782,46,271,177.749595,281165,ca0883c5d21b9ed9,
open_data_permits,4000,0.2,5,74738,4.960762,3.4951280000000002,0.133491,70,358,177.749595,405164,ca0883c5d21b9ed9,
health_release,4000,0.01,1,22261,2.559786,1.519922,0.176075,2,61,181.469447,12830,2df06c9828d413ff,
health_release,4000,0.05,1,47220,3.686418,2.365843,0.083927,4,208,181.469447,25005,2df06c9828d413ff,
